t;vc_A_capital;vc_A_cuprum;vc_A_habitat;vc_A_planvital;vc_A_provida;vc_A_modelo;vc_A_santa maria;vc_A_magister;vp_A_capital;vp_A_cuprum;vp_A_habitat;vp_A_planvital;vp_A_provida;vp_A_modelo;vp_A_santa maria;vp_A_magister;vp_A_total;uf;ret_vc_A_capital;ret_vc_A_cuprum;ret_vc_A_habitat;ret_vc_A_planvital;ret_vc_A_provida;ret_vc_A_modelo;ret_vc_A_sm;ret_vc_A_magister;pond_vp_A_capital;pond_vp_A_cuprum;pond_vp_A_habitat;pond_vp_A_planvital;pond_vp_A_provida;pond_vp_A_modelo;pond_vp_A_sm;pond_vp_A_magister;ret_pond_A;ret_anual_pond_A;ds_anual_pond_A;ret_riesgo_A
11-10-2002;9679.80000000000000000000;9743.08000000000000000000;9757.32000000000000000000;9708.99000000000000000000;9836.91000000000000000000;;9677.03000000000000000000;9838.67000000000000000000;26317684897.00000000000000000000;22173553967.00000000000000000000;31026990698.00000000000000000000;730437642.00000000000000000000;15507671083.00000000000000000000;;6275657977.00000000000000000000;2461149437.00000000000000000000;104493145701.00000000000000000000;16483.22000000000000000000;-0.00529055805737285000;-0.00630825875134609000;-0.00627092964406295000;-0.00788226972889966000;-0.00303922672778110000;;-0.00922323310061570000;-0.00484227718920749000;0.25186039448277600000;0.21220103785992000000;0.29692847784276300000;0.00699029239764776000;0.14840850066256200000;0.00000000000000000000;0.06005808261297220000;0.02355321414136020000;-0.00570724602644960000;;;
14-10-2002;9685.45000000000000000000;9727.28000000000000000000;9705.73000000000000000000;9670.98000000000000000000;9843.96000000000000000000;;9623.03000000000000000000;9831.96000000000000000000;26332862987.00000000000000000000;22137593309.00000000000000000000;30862684066.00000000000000000000;727578009.00000000000000000000;15518705788.00000000000000000000;;6234925432.00000000000000000000;2459470495.00000000000000000000;104273820086.00000000000000000000;16495.94000000000000000000;-0.00018787681251960600;-0.00239437638355872000;-0.00607273608038982000;-0.00469400799863802000;-0.00005496450382098760;;-0.00636724840559313000;-0.00145363169761493000;0.25253570805483000000;0.21230250594772500000;0.29597730322477800000;0.00697757124846801000;0.14882648180723500000;0.00000000000000000000;0.05979377591477650000;0.02358665380218690000;-0.00280911083950250000;;;
15-10-2002;9867.31000000000000000000;9813.75000000000000000000;9813.60000000000000000000;9808.53000000000000000000;9925.91000000000000000000;;9793.66000000000000000000;9859.58000000000000000000;26679953193.00000000000000000000;22289124199.00000000000000000000;31204814260.00000000000000000000;737946698.00000000000000000000;15647380904.00000000000000000000;;6336438759.00000000000000000000;2466494165.00000000000000000000;105362152178.00000000000000000000;16500.18000000000000000000;0.01834551394058990000;0.00859315428817682000;0.01079574606959250000;0.01386576664470690000;0.00803344098059713000;;0.01731905373016450000;0.00254826753585824000;0.25322141434551000000;0.21154773073868600000;0.29616720629702200000;0.00700390683699498000;0.14851045257280900000;0.00000000000000000000;0.06013961017325410000;0.02340967903572320000;0.01205206498836770000;;;
16-10-2002;9859.87000000000000000000;9820.52000000000000000000;9811.42000000000000000000;9808.37000000000000000000;9927.62000000000000000000;;9800.22000000000000000000;9871.74000000000000000000;26659832416.00000000000000000000;22302790512.00000000000000000000;31197825223.00000000000000000000;737934283.00000000000000000000;15650079577.00000000000000000000;;6340680548.00000000000000000000;2469536227.00000000000000000000;105358678786.00000000000000000000;16504.42000000000000000000;-0.00101122317891264000;0.00043267670754302900;-0.00047909926295590000;-0.00027324634862968400;-0.00008467232541442590;;0.00041266297495829400;0.00097562445936477000;0.25303878829147300000;0.21168441716415700000;0.29611063447718100000;0.00700401990137766000;0.14854096271260000000;0.00000000000000000000;0.06018185327550390000;0.02343932417770740000;-0.00027294248896500500;;;
17-10-2002;9970.82000000000000000000;9885.39000000000000000000;9870.67000000000000000000;9925.07000000000000000000;10017.21000000000000000000;;9926.05000000000000000000;9934.27000000000000000000;26959832122.00000000000000000000;22450128129.00000000000000000000;31386092779.00000000000000000000;746714850.00000000000000000000;15791295580.00000000000000000000;;6422042352.00000000000000000000;2485178707.00000000000000000000;106241284519.00000000000000000000;16508.66000000000000000000;0.01093297550314810000;0.00632696755553467000;0.00576385237151731000;0.01157090877081400000;0.00872697429960030000;;0.01250091213896600000;0.00605739811331517000;0.25376041191575200000;0.21131265713363100000;0.29542275322722600000;0.00702848100322487000;0.14863615073456600000;0.00000000000000000000;0.06044770995640110000;0.02339183602919970000;0.00808991278422561000;;;
18-10-2002;9939.84000000000000000000;9875.61000000000000000000;9830.13000000000000000000;9897.33000000000000000000;10047.33000000000000000000;;9905.73000000000000000000;9918.34000000000000000000;26884133581.00000000000000000000;22427799972.00000000000000000000;39339081581.00000000000000000000;744627431.00000000000000000000;15838291089.00000000000000000000;;6408851433.00000000000000000000;2481016900.00000000000000000000;114123801987.00000000000000000000;16512.91000000000000000000;-0.00336931088052582000;-0.00124723603888387000;-0.00437298222810618000;-0.00305626315711912000;0.00274490628777583000;;-0.00230664435026329000;-0.00186223462341037000;0.23556990840580700000;0.19652166841194800000;0.34470531910145400000;0.00652473382445514000;0.13878166353767400000;0.00000000000000000000;0.05615700950560730000;0.02173969721305480000;-0.00235522470542699000;;;
21-10-2002;10019.70000000000000000000;9944.29000000000000000000;9911.75000000000000000000;9990.92000000000000000000;10102.29000000000000000000;;9961.84000000000000000000;9950.05000000000000000000;27090629170.00000000000000000000;22585717454.00000000000000000000;39665621620.00000000000000000000;751668867.00000000000000000000;15924373397.00000000000000000000;;14225624712.00000000000000000000;2488948549.00000000000000000000;122732583769.00000000000000000000;16525.64000000000000000000;0.00723161615799242000;0.00615982109516974000;0.00749814819067604000;0.00864104174496168000;0.00468458828288488000;;0.00487780093266341000;0.00242139272778674000;0.22072890782604500000;0.18402380818861800000;0.32318737536444500000;0.00612444425039358000;0.12974853871708500000;0.00000000000000000000;0.11590748173911700000;0.02027944391429540000;0.00642830548907802000;;;
22-10-2002;10047.97000000000000000000;9970.13000000000000000000;9916.69000000000000000000;10005.82000000000000000000;10131.50000000000000000000;;9974.16000000000000000000;9961.50000000000000000000;27167094554.00000000000000000000;22644116600.00000000000000000000;39684203894.00000000000000000000;752790124.00000000000000000000;15969930901.00000000000000000000;;14243215984.00000000000000000000;2491814185.00000000000000000000;122953166242.00000000000000000000;16529.89000000000000000000;0.00256032590649250000;0.00233796285100037000;0.00024113114900361200;0.00123310012803214000;0.00263010844537401000;;0.00097881215615584100;0.00089294332587797600;0.22095481868705100000;0.18416863340819700000;0.32275869834773000000;0.00612257615650447000;0.12988629239175100000;0.00000000000000000000;0.11584261242989100000;0.02026636857887450000;0.00155477260527003000;;;
23-10-2002;10058.76000000000000000000;9960.94000000000000000000;9916.54000000000000000000;10008.97000000000000000000;10152.29000000000000000000;;9980.20000000000000000000;9933.41000000000000000000;27203954455.00000000000000000000;22627444232.00000000000000000000;39683319027.00000000000000000000;753026478.00000000000000000000;16002750563.00000000000000000000;;14251851833.00000000000000000000;2484787764.00000000000000000000;123007134352.00000000000000000000;16534.14000000000000000000;0.00081619563262378900;-0.00117925530462600000;-0.00027220308103474300;0.00005769028042696340;0.00179283652888172000;;0.00034830454722184500;-0.00308091668427680000;0.22115753365290600000;0.18395229147643400000;0.32260989767830300000;0.00612181140522404000;0.13009611716671800000;0.00000000000000000000;0.11586199376222000000;0.02020035485819440000;0.00008747957855282370;;;
24-10-2002;10024.32000000000000000000;9931.07000000000000000000;9862.33000000000000000000;9964.07000000000000000000;10102.26000000000000000000;;9938.67000000000000000000;9913.18000000000000000000;27138709609.00000000000000000000;22559366565.00000000000000000000;39466042750.00000000000000000000;750029127.00000000000000000000;15923836926.00000000000000000000;;14192232285.00000000000000000000;2479725402.00000000000000000000;122509942664.00000000000000000000;16538.39000000000000000000;-0.00368676704915155000;-0.00326022900153637000;-0.00573863199837865000;-0.00475307914388908000;-0.00519714549178119000;;-0.00442693218377931000;-0.00229564895421803000;0.22152250681752100000;0.18414314850242100000;0.32214563072844600000;0.00612218984590545000;0.12997995574672100000;0.00000000000000000000;0.11584555486997600000;0.02024101348901110000;-0.00452965660715075000;;;
25-10-2002;10074.86000000000000000000;9974.32000000000000000000;9890.39000000000000000000;9999.00000000000000000000;10144.27000000000000000000;;9978.76000000000000000000;9929.87000000000000000000;27360202341.00000000000000000000;26176918298.00000000000000000000;39578089502.00000000000000000000;752658319.00000000000000000000;42605117528.00000000000000000000;;14245880991.00000000000000000000;2491224673.00000000000000000000;153210091652.00000000000000000000;16542.64000000000000000000;0.00477212664384529000;0.00408861865157603000;0.00258418477144335000;0.00324252048479666000;0.00389290802489858000;;0.00376868036509795000;0.00142525662699996000;0.17857963562312700000;0.17085635819250100000;0.25832560424216200000;0.00491258970531511000;0.27808297135395500000;0.00000000000000000000;0.09298265432382850000;0.01626018655911090000;0.00369040966842689000;;;
28-10-2002;10061.40000000000000000000;10010.05000000000000000000;9918.62000000000000000000;10024.24000000000000000000;10145.71000000000000000000;;9981.99000000000000000000;9959.10000000000000000000;32768594175.00000000000000000000;26298325885.00000000000000000000;39908813698.00000000000000000000;755745647.00000000000000000000;42611145465.00000000000000000000;;14341622349.00000000000000000000;2511289859.00000000000000000000;159195537078.00000000000000000000;16555.40000000000000000000;-0.00210793462953652000;0.00280475561953974000;0.00207917741388549000;0.00175002917738920000;-0.00062910069053249700;;-0.00044740753718146200;0.00216827706403118000;0.20583864834693600000;0.16519512021316800000;0.25069053084350100000;0.00474727910638420000;0.26766545248138500000;0.00000000000000000000;0.09008809299706140000;0.01577487601156530000;0.00038448518238397200;;;
29-10-2002;10099.88000000000000000000;10031.45000000000000000000;9942.90000000000000000000;10040.08000000000000000000;10178.49000000000000000000;;9999.51000000000000000000;9973.75000000000000000000;32926533836.00000000000000000000;26386868821.00000000000000000000;40091866745.00000000000000000000;757947590.00000000000000000000;43295271494.00000000000000000000;;14366575518.00000000000000000000;2521042203.00000000000000000000;160346106207.00000000000000000000;16559.66000000000000000000;0.00355993783609891000;0.00187828475315896000;0.00218764515070821000;0.00132163776083720000;0.00296842926469567000;;0.00149633779640445000;0.00121265081903894000;0.20534663806237500000;0.16456195566692300000;0.25003330416544800000;0.00472694727629695000;0.27001136802229300000;0.00000000000000000000;0.08959728338805660000;0.01572250341860780000;0.00254799029089461000;;;
30-10-2002;10119.26000000000000000000;10039.42000000000000000000;9952.91000000000000000000;10068.08000000000000000000;10211.30000000000000000000;;10042.08000000000000000000;9981.62000000000000000000;32989713826.00000000000000000000;26480884418.00000000000000000000;52288256630.00000000000000000000;761166555.00000000000000000000;43434549887.00000000000000000000;;14443911896.00000000000000000000;2523625852.00000000000000000000;172922109064.00000000000000000000;16563.92000000000000000000;0.00165977749256543000;0.00053696726933719900;0.00074902352768098100;0.00252772227457991000;0.00296106158565955000;;0.00399095375278995000;0.00053154158408295400;0.19077788262338500000;0.15313764423379300000;0.30238040070774100000;0.00440178852270582000;0.25117985272157700000;0.00000000000000000000;0.08352842776544080000;0.01459400342535720000;0.00172136969659051000;;;
31-10-2002;10084.16000000000000000000;10024.25000000000000000000;9924.47000000000000000000;10032.93000000000000000000;10162.65000000000000000000;;9983.32000000000000000000;9969.38000000000000000000;32877149179.00000000000000000000;26440747756.00000000000000000000;52138617487.00000000000000000000;2574105755.00000000000000000000;43227629814.00000000000000000000;;14370699217.00000000000000000000;5717858801.00000000000000000000;177346808009.00000000000000000000;16568.18000000000000000000;-0.00373181516737098000;-0.00176933867480187000;-0.00311869851030843000;-0.00375449269639715000;-0.00503286774015213000;;-0.00612571621875192000;-0.00148415874967964000;0.18538337141839900000;0.14909063237641200000;0.29399242124704100000;0.01451453106993260000;0.24374630871172100000;0.00000000000000000000;0.08103162035073510000;0.03224111482575900000;-0.00369794730380932000;;;
04-11-2002;10116.08000000000000000000;10088.88000000000000000000;9977.79000000000000000000;10083.90000000000000000000;10204.45000000000000000000;;10016.21000000000000000000;9998.83000000000000000000;32981360390.00000000000000000000;26611026735.00000000000000000000;52418173029.00000000000000000000;2587181707.00000000000000000000;43405423358.00000000000000000000;;14418048481.00000000000000000000;5734750849.00000000000000000000;178155964549.00000000000000000000;16585.22000000000000000000;0.00213241216272350000;0.00539872082844180000;0.00433024931337992000;0.00403946067511585000;0.00307671578886818000;;0.00226113129992537000;0.00192174171010105000;0.18512633283702800000;0.14936927204410800000;0.29422631547417500000;0.01452200443330330000;0.24363721679417500000;0.00000000000000000000;0.08092936162703920000;0.03218949679017180000;0.00352835729322158000;;;
