t;vc_E_capital;vc_E_cuprum;vc_E_habitat;vc_E_planvital;vc_E_provida;vc_E_modelo;vc_E_santa maria;vc_E_magister;vp_E_capital;vp_E_cuprum;vp_E_habitat;vp_E_planvital;vp_E_provida;vp_E_modelo;vp_E_santa maria;vp_E_magister;vp_E_total;uf;ret_vc_E_capital;ret_vc_E_cuprum;ret_vc_E_habitat;ret_vc_E_planvital;ret_vc_E_provida;ret_vc_E_modelo;ret_vc_E_sm;ret_vc_E_magister;pond_vp_E_capital;pond_vp_E_cuprum;pond_vp_E_habitat;pond_vp_E_planvital;pond_vp_E_provida;pond_vp_E_modelo;pond_vp_E_sm;pond_vp_E_magister;ret_pond_E;ret_anual_pond_E;ds_anual_pond_E;ret_riesgo_E
11-10-2002;13908.10000000000000000000;14007.47000000000000000000;12299.28000000000000000000;13588.65000000000000000000;13414.82000000000000000000;;13421.52000000000000000000;23671.85000000000000000000;30139105894.00000000000000000000;121871486071.00000000000000000000;80216981024.00000000000000000000;1398240298.00000000000000000000;35741355716.00000000000000000000;;12207846802.00000000000000000000;15014722522.00000000000000000000;296589738327.00000000000000000000;16483.22000000000000000000;-0.00060531441542440500;-0.00118644311295283000;-0.00084188639072602100;-0.00352169787976926000;-0.00357731017411354000;;-0.00242841793772007000;-0.00583883624882380000;0.10161884245897500000;0.41090931452467400000;0.27046445192772700000;0.00471439202815033000;0.12050772868140800000;0.00000000000000000000;0.04116071874523330000;0.05062455163383220000;-0.00161997230090995000;;;
14-10-2002;13907.45000000000000000000;13997.47000000000000000000;12279.81000000000000000000;13650.12000000000000000000;13438.83000000000000000000;;13452.45000000000000000000;23703.61000000000000000000;30194356118.00000000000000000000;121836922590.00000000000000000000;80088992431.00000000000000000000;1404565623.00000000000000000000;35740099208.00000000000000000000;;12235987515.00000000000000000000;15004291953.00000000000000000000;296505215438.00000000000000000000;16495.94000000000000000000;-0.00081813272536050000;-0.00148555602403403000;-0.00235567007065161000;0.00374203104315685000;0.00101681548492917000;;0.00153046040061700000;0.00056938246137176300;0.10183414842601200000;0.41090988032039000000;0.27010989439997500000;0.00473706886040829000;0.12053784334014000000;0.00000000000000000000;0.04126736016068010000;0.05060380449239500000;-0.00109777130777847000;;;
15-10-2002;13923.56000000000000000000;14012.27000000000000000000;12292.80000000000000000000;13655.11000000000000000000;13430.67000000000000000000;;13454.16000000000000000000;23546.90000000000000000000;30177373142.00000000000000000000;121655694123.00000000000000000000;80168796730.00000000000000000000;1405076462.00000000000000000000;35724902080.00000000000000000000;;12237535018.00000000000000000000;14904562656.00000000000000000000;296273940211.00000000000000000000;16500.18000000000000000000;0.00090070164125179100;0.00079977543332820400;0.00080027492929421200;0.00010849783402873400;-0.00086438004901651600;;-0.00012989360189146000;-0.00689018015364824000;0.10185631959567000000;0.41061894959900800000;0.27059010547098900000;0.00474249088866653000;0.12058064254506300000;0.00000000000000000000;0.04130479720654700000;0.05030669469405670000;0.00018099121011810500;;;
16-10-2002;13934.13000000000000000000;14010.92000000000000000000;12281.99000000000000000000;13655.55000000000000000000;13425.82000000000000000000;;13442.04000000000000000000;23661.11000000000000000000;30200284699.00000000000000000000;121511509042.00000000000000000000;80046682693.00000000000000000000;1405121906.00000000000000000000;35714078034.00000000000000000000;;12226516748.00000000000000000000;14976855736.00000000000000000000;296081048858.00000000000000000000;16504.42000000000000000000;0.00050192304320356300;-0.00035328265742924500;-0.00113669730735631000;-0.00022471203298544800;-0.00061811287977273800;;-0.00115817649906925000;0.00458166121199395000;0.10200005983322500000;0.41039948186713100000;0.27035395545153700000;0.00474573401918032000;0.12062264090103400000;0.00000000000000000000;0.04129449282606340000;0.05058363510182940000;-0.00029279551601506900;;;
17-10-2002;13931.81000000000000000000;14017.03000000000000000000;12288.59000000000000000000;13654.35000000000000000000;13428.75000000000000000000;;13459.94000000000000000000;23688.28000000000000000000;30218124930.00000000000000000000;121586980196.00000000000000000000;80092303385.00000000000000000000;1404590311.00000000000000000000;35741694733.00000000000000000000;;12239592519.00000000000000000000;14994050701.00000000000000000000;296277336775.00000000000000000000;16508.66000000000000000000;-0.00042337940475868400;0.00017912547824437800;0.00028035998305417100;-0.00034474810461117000;-0.00003865549078312130;;0.00107388937804657000;0.00089077110148415500;0.10199269798671200000;0.41038231786299600000;0.27032882182893400000;0.00474079565547965000;0.12063593902271100000;0.00000000000000000000;0.04131126819293310000;0.05060815945023440000;0.00018926410139192700;;;
18-10-2002;13933.96000000000000000000;14007.94000000000000000000;12277.51000000000000000000;13631.37000000000000000000;13421.71000000000000000000;;13451.58000000000000000000;23623.73000000000000000000;30222898080.00000000000000000000;121513445918.00000000000000000000;114980485609.00000000000000000000;1402226783.00000000000000000000;35722690670.00000000000000000000;;12231858323.00000000000000000000;14950635322.00000000000000000000;331024240705.00000000000000000000;16512.91000000000000000000;-0.00010309632241229600;-0.00090611473730569500;-0.00115946365467633000;-0.00194180545934336000;-0.00078179332206338500;;-0.00087870279493550900;-0.00298610324737888000;0.09130116276570160000;0.36708322526231400000;0.34734763038537600000;0.00423602446761483000;0.10791563359202800000;0.00000000000000000000;0.03695154861453400000;0.04516477491243190000;-0.00100469865451434000;;;
21-10-2002;13940.68000000000000000000;14014.30000000000000000000;12286.32000000000000000000;13643.65000000000000000000;13428.15000000000000000000;;13460.81000000000000000000;23591.98000000000000000000;30231911488.00000000000000000000;121545345031.00000000000000000000;115208025360.00000000000000000000;1403489249.00000000000000000000;35737237406.00000000000000000000;;39021626862.00000000000000000000;14930532248.00000000000000000000;358078167644.00000000000000000000;16525.64000000000000000000;-0.00028845626860615500;-0.00031668979549328700;-0.00005330009183756330;0.00012984272440699800;-0.00029091041242808900;;-0.00008468552676294090;-0.00211550652479091000;0.08442824561718730000;0.33943802223608300000;0.32173987629019400000;0.00391950522489085000;0.09980289399137520000;0.00000000000000000000;0.10897516349222100000;0.04169629314804770000;-0.00027496136064888800;;;
22-10-2002;13955.45000000000000000000;14018.22000000000000000000;12252.37000000000000000000;13661.28000000000000000000;13405.03000000000000000000;;13434.50000000000000000000;23649.30000000000000000000;30313761043.00000000000000000000;121765663182.00000000000000000000;114990254240.00000000000000000000;1405252746.00000000000000000000;35675020836.00000000000000000000;;38945355143.00000000000000000000;14966802777.00000000000000000000;358062109967.00000000000000000000;16529.89000000000000000000;0.00080178528719373500;0.00002253212172187620;-0.00302420370011284000;0.00103419901529415000;-0.00198038314454585000;;-0.00221361862075256000;0.00216954936625846000;0.08466062227526340000;0.34006855177506000000;0.32114611135648500000;0.00392460611408873000;0.09963361060260720000;0.00000000000000000000;0.10876703806104800000;0.04179945981544760000;-0.00123900579940631000;;;
23-10-2002;13940.37000000000000000000;14011.17000000000000000000;12267.11000000000000000000;13637.52000000000000000000;13391.05000000000000000000;;13425.40000000000000000000;23569.88000000000000000000;30286465634.00000000000000000000;121753444106.00000000000000000000;115178335931.00000000000000000000;1402809066.00000000000000000000;35591453041.00000000000000000000;;38924911832.00000000000000000000;14925180950.00000000000000000000;358062600560.00000000000000000000;16534.14000000000000000000;-0.00133824262242897000;-0.00076012037506028400;0.00094523254053383700;-0.00199781324788621000;-0.00130051325057825000;;-0.00093466699109643600;-0.00362096742561113000;0.08458427544969180000;0.34003396030632900000;0.32167094734514100000;0.00391777600845787000;0.09940008530725060000;0.00000000000000000000;0.10870979479879400000;0.04168316078433610000;-0.00045724611432688400;;;
24-10-2002;13937.67000000000000000000;14008.45000000000000000000;12249.13000000000000000000;13625.92000000000000000000;13393.05000000000000000000;;13434.90000000000000000000;23593.17000000000000000000;30337663191.00000000000000000000;121744032221.00000000000000000000;115019183752.00000000000000000000;1406428624.00000000000000000000;35596715168.00000000000000000000;;38951618123.00000000000000000000;14909764535.00000000000000000000;357965405614.00000000000000000000;16538.39000000000000000000;-0.00045071172924711400;-0.00045116055167926700;-0.00172379397776988000;-0.00110796737728346000;-0.00010766854625625700;;0.00045035280491842100;0.00073062676801791800;0.08475026557095190000;0.34009999377503700000;0.32131368547950400000;0.00392895123926186000;0.09944177456741320000;0.00000000000000000000;0.10881391752420400000;0.04165141184362780000;-0.00068113984728688900;;;
25-10-2002;13951.40000000000000000000;14026.45000000000000000000;12255.33000000000000000000;13628.69000000000000000000;13394.15000000000000000000;;13421.86000000000000000000;23599.75000000000000000000;30413757537.00000000000000000000;154089848413.00000000000000000000;115104924179.00000000000000000000;1406714172.00000000000000000000;117723347166.00000000000000000000;;38912767943.00000000000000000000;14940665373.00000000000000000000;472592024783.00000000000000000000;16542.64000000000000000000;0.00072767035676486400;0.00102716906351453000;0.00024908549899214600;-0.00005367647740328360;-0.00017481606464111800;;-0.00122802259173024000;0.00002191054682597050;0.06435520690592500000;0.32605257882579300000;0.24356086887385100000;0.00297659312521391000;0.24910142573831000000;0.00000000000000000000;0.08233902796152260000;0.03161429856938510000;0.00029827977504993000;;;
28-10-2002;13945.18000000000000000000;14012.79000000000000000000;12244.67000000000000000000;13621.58000000000000000000;13379.10000000000000000000;;13406.31000000000000000000;23584.93000000000000000000;45733994712.00000000000000000000;154030836816.00000000000000000000;115422498461.00000000000000000000;1407371747.00000000000000000000;117590719991.00000000000000000000;;38962859411.00000000000000000000;14948433017.00000000000000000000;488096714155.00000000000000000000;16555.40000000000000000000;-0.00121697548027729000;-0.00174539155650011000;-0.00164124681050297000;-0.00129287237776088000;-0.00189529927972601000;;-0.00193027207658524000;-0.00139921268538081000;0.09369863263917960000;0.31557441865319700000;0.23647464757229700000;0.00288338705462597000;0.24091684410245400000;0.00000000000000000000;0.07982610470642700000;0.03062596527181900000;-0.00171021883790127000;;;
29-10-2002;13952.07000000000000000000;14021.28000000000000000000;12248.28000000000000000000;13647.18000000000000000000;13391.67000000000000000000;;13416.71000000000000000000;23590.89000000000000000000;45885042745.00000000000000000000;154363261534.00000000000000000000;115625071809.00000000000000000000;1410600232.00000000000000000000;117993283984.00000000000000000000;;38993066225.00000000000000000000;14931412633.00000000000000000000;489201739162.00000000000000000000;16559.66000000000000000000;0.00023667075401664600;0.00034840683965816400;0.00003749395032860750;0.00162032226066528000;0.00068179924928910200;;0.00051816860872827400;-0.00000461293843432901;0.09379574738143990000;0.31554111356681500000;0.23635458043764300000;0.00288347346110492000;0.24119555295556000000;0.00000000000000000000;0.07970753802264670000;0.03052199417479060000;0.00035127751049158600;;;
30-10-2002;13956.02000000000000000000;14029.24000000000000000000;12254.67000000000000000000;13637.41000000000000000000;13388.28000000000000000000;;13418.48000000000000000000;23596.30000000000000000000;45898037991.00000000000000000000;154556079399.00000000000000000000;191298812413.00000000000000000000;1409983166.00000000000000000000;117984940768.00000000000000000000;;39018475905.00000000000000000000;14936605567.00000000000000000000;565102935209.00000000000000000000;16563.92000000000000000000;0.00002585346799376700;0.00031032885110594200;0.00026435128860283700;-0.00097337376866530000;-0.00051039305951541600;;-0.00012530223661161100;-0.00002791905437308590;0.08122066818503580000;0.27350075494093500000;0.33852029514277700000;0.00249509085540058000;0.20878486629053500000;0.00000000000000000000;0.06904667003821040000;0.02643165454710620000;0.00005808263557951830;;;
31-10-2002;13946.61000000000000000000;14035.31000000000000000000;12256.48000000000000000000;13634.13000000000000000000;13395.29000000000000000000;;13419.23000000000000000000;23580.06000000000000000000;45867075411.00000000000000000000;154617503319.00000000000000000000;191333673997.00000000000000000000;7057267015.00000000000000000000;118064714595.00000000000000000000;;39038456389.00000000000000000000;57084689291.00000000000000000000;613063380017.00000000000000000000;16568.18000000000000000000;-0.00093164084672376400;0.00017542176668408300;-0.00010946454138279400;-0.00049769623679926400;0.00026630281899003900;;-0.00020126092571657200;-0.00094563287471423500;0.07481620482653540000;0.25220476113695200000;0.31209444281551200000;0.01151148028904340000;0.19258158037709900000;0.00000000000000000000;0.06367768433325360000;0.09311384622160450000;-0.00011493444915389000;;;
